type_hotel,location,rating,reviewer,distance,type_bed,area,price
115,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
1 giường đơn

",28 m²,"
VND 1.804.800
"
116,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
1 giường đôi cực lớn

",38 m²,"
VND 2.387.889
"
117,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
1 giường đơn

",45 m²,"
VND 2.665.551
"
118,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
1 giường đôi cực lớn

",32 m²,"
VND 2.943.213
"
119,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
1 giường đôi

",50 m²,"
VND 3.331.939
"
120,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
2 giường đơn

",60 m²,"
VND 3.609.600
"
121,hotel,"
37 - 39 Hang Bac , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,9", · 294 đánh giá,"
4,7 km
","
1 giường đôi cực lớn

",20 m²,"
VND 1.393.203
"
122,hotel,"
37 - 39 Hang Bac , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,9", · 294 đánh giá,"
4,7 km
","
2 giường đơn

",20 m²,"
VND 1.567.353
"
123,hotel,"
37 - 39 Hang Bac , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,9", · 294 đánh giá,"
4,7 km
","
2 giường đơn

",22 m²,"
VND 6.896.353
"
124,hotel,"
37 - 39 Hang Bac , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,9", · 294 đánh giá,"
4,7 km
","
1 giường đôi lớn

",22 m²,"
VND 1.393.203
"
125,hotel,"
37 - 39 Hang Bac , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,9", · 294 đánh giá,"
4,7 km
","
1 giường đôi lớn

",26 m²,"
VND 1.567.353
"
126,hotel,"
37 - 39 Hang Bac , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,9", · 294 đánh giá,"
4,7 km
","
1 giường đơn

",25 m²,"
VND 6.896.353
"
127,hotel,"
37 - 39 Hang Bac , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,9", · 294 đánh giá,"
4,7 km
","
1 giường đôi

",25 m²,"
VND 1.578.963
"
128,hotel,"
34 Hang Tre Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,3", · 494 đánh giá,"
2,3 km
","
1 giường đôi cực lớn

",23 m²,"
VND 1.260.000
"
129,hotel,"
34 Hang Tre Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,3", · 494 đánh giá,"
2,3 km
","
1 giường đơn

",35 m²,"
VND 1.134.000
"
130,hotel,"
34 Hang Tre Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,3", · 494 đánh giá,"
2,3 km
","
1 giường đôi cực lớn

",35 m²,"
VND 1.663.200
"
